Monat,Brand,Influencer,Zuständigkeit,Channel,Content,Status,Story_Public_Date,Reminder_oder__Teaser?,Wann?,Preis,Est._Views,CPM,Link_Klicks,Real_Views,Umsatz,ROAS,Beworbenes__Produkt
March,Zahnheld,shopping_zeit,LS,ig,story,done,2025-03-17,nichts,,0.0,1.0,0.0,,,,,
March,Vonmählen,shopping_zeit,LS,ig,story,done,2025-03-17,nichts,,0.0,1.0,0.0,,,,,Evergreen Mag
March,Zahnheld,the_woodhouse_family,LS,ig,story inkl. rem.,done,2025-03-17,reminder,2025-03-20,300.0,13.0,23.0,,,,,
March,Lotto24,marcdumitru,LS,ig,story,done,2025-03-18,nichts,,600.0,15.0,40.0,,,,,
March,Ameli,isabellsjournal,LS,ig,story,done,2025-03-18,nichts,,0.0,9.0,0.0,,,,,
March,TerraCanis,eva.besserer,SB,ig,story inkl. rem.,done,2025-03-18,reminder,2025-03-21,400.0,13.0,31.0,,,,,
March,305 Care,sonja.sein,SB,ig,story,done,2025-03-19,nichts,,575.0,12.5,46.0,,,,,
March,TerraCanis,thara.vive,SB,ig,story inkl. rem.,done,2025-03-19,reminder,2025-03-24,400.0,12.0,33.0,,,,,
March,Vonmählen,sina.maas,LS,ig,story inkl. rem.,done,2025-03-19,reminder,2025-03-23,150.0,5.0,30.0,,,,,Fokus: Air Beats Go & Evergreen Mag nebenbei
March,Vonmählen,der_flory,JT,ig,story,done,2025-03-20,nichts,,300.0,10.0,30.0,,,,,Evergreen Mag & Aura Home 
March,Bauhaus,tina_mom_91,LS,ig,story,done,2025-03-20,nichts,,250.0,9.0,28.0,,,,,
March,Zahnheld,die_mutti__,JT,ig,story inkl. rem.,done,2025-03-20,reminder,2025-03-22,900.0,20.0,45.0,,,,,
March,TerraCanis,kikidoyouloveme,SB,ig,story,done,2025-03-21,nichts,,6.0,150.0,40.0,,,,,
March,Vonmählen,kriskemmetinger,LS,ig,story inkl. rem.,done,2025-03-23,reminder,2025-03-23,100.0,8.0,13.0,,,,,Allroundo GaN & Evergreen Mag
March,305 Care,annaroiii,SB,ig,story,done,2025-03-24,reminder,2025-03-26,350.0,9.0,39.0,,,,,
March,Lotto24,lisarrey,LS,ig,story,done,2025-03-25,nichts,,7.0,150.0,47.0,,,,,
March,Zahnheld,fatmasstory,SB,ig,story inkl. rem.,done,2025-03-26,reminder,2025-03-28,1.0,23000.0,43.0,,,,,
March,Bauhaus,einfach.stephi,LS,ig,story,done,2025-03-27,nichts,,350.0,10.0,35.0,,,,,
March,Bauhaus,eigenheimliebe,LS,ig,story inkl. rem.,done,2025-03-27,reminder,2025-03-30,1.45,,,,,,,
March,Bauhaus,hausnr_8,LS,ig,story inkl. rem.,done,2025-03-27,reminder,2025-03-30,400.0,,,,,,,
March,Bauhaus,mellisblog,LS,ig,story inkl. rem.,done,2025-03-27,reminder,2025-03-29,900.0,30.0,30.0,,,,,
March,Zahnheld,sabrinasmamikram,LS,ig,story inkl. rem.,done,2025-03-27,reminder,2025-03-31,600.0,15.0,40.0,,,,,
March,TerraCanis,djangoholly_crazy_greek_dogs,SB,ig,story inkl. rem.,done,2025-03-28,reminder,2025-03-30,0.0,,,,,,,
March,305 Care,sarahplusdrei,SB,ig,story inkl. rem.,done,2025-03-28,reminder,2025-03-31,1.5,43.0,35.0,,,,,
March,TerraCanis,hannahsitte,SB,ig,story inkl. rem.,done,2025-03-28,reminder,2025-03-31,350.0,12.0,29.0,,,,,
March,IOS,tschossl,DP,ig,story inkl. rem.,done,2025-03-28,reminder,2025-03-30,800.0,36.6,22.0,,,,,
March,Zahnheld,aenna.xoxo,JT,ig,story,done,2025-03-28,nichts,,650.0,15.0,43.0,,,,,
March,IOS,just.georges.way,JT,ig,story,done,2025-03-30,nichts,,0.0,4.0,0.0,,,,,
March,Ameli,kimjuliiaa,JT,ig,story + teaser,done,2025-03-30,reminder,2025-04-02,0.0,4.0,0.0,,,,,
March,Ameli,itscaroo,JT,ig,reel,done,2025-03-30,nichts,,0.0,35.0,0.0,,,,,
March,Vonmählen,femily.hashtagt,LS,ig,story inkl. rem.,done,2025-03-31,reminder,2025-04-03,2.8,60.0,47.0,,,,,Allroundo GaN
March,Zahnheld,einfach.stephi,LS,ig,story,done,2025-03-31,nichts,,300.0,10.0,30.0,,,,,
April,Ameli,itscaroo,JT,ig,story,done,2025-04-02,nichts,,0.0,35.0,0.0,,,,,
April,Vonmählen,patrickheckl,LS,ig,story inkl. rem.,done,2025-04-02,reminder,2025-04-04,1.4,50.0,28.0,,,,,Armbänder + Evergreen Mag
April,KikiKoala,vivienrich,JT,ig,story inkl. rem.,done,2025-04-02,reminder,2025-04-06,500.0,22.0,23.0,,,,,
April,KikiKoala,verenas_mamablog,JT,ig,story,done,2025-04-02,nichts,,75.0,7.0,11.0,,,,,
April,Vonmählen,mellisblog,LS,ig,story inkl. rem.,done,2025-04-02,reminder,2025-04-04,1.1,30.0,37.0,,,,,Evergeen Mag
April,Zahnheld,patrickheckl,LS,ig,story inkl. rem.,done,2025-04-03,reminder,2025-04-06,1.4,50.0,28.0,,,,,Schallzahnbürste
April,Bauhaus,tina_mom_91,LS,ig,story,done,2025-04-03,nichts,,250.0,12.0,21.0,,,,,
April,Bauhaus,innerbeyouty,LS,ig,story inkl. rem.,done,2025-04-03,reminder,2025-04-07,650.0,16.0,41.0,,,,,
April,IOS,der_flory,JT,ig,story inkl. rem.,done,2025-04-04,reminder,2025-04-13,300.0,20.0,15.0,,,,,
April,IOS,Papi.of.two,DP,ig,story inkl. rem.,done,2025-04-04,reminder,2025-04-11,400.0,11.5,34.0,,,,,
April,KikiKoala,stephaniebliem,JT,ig,story,done,2025-04-06,reminder,2025-04-09,300.0,20.0,15.0,,,,,
April,TerraCanis,Jan_weinrich,SB,ig,story inkl. rem.,done,2025-04-07,reminder,2025-04-10,500.0,15.0,33.0,,,,,
April,Vonmählen,nikisbeautychannel,LS,ig,story inkl. rem.,done,2025-04-07,reminder,2025-04-13,350.0,11.0,32.0,,,,,
April,Vonmählen,justabout.sabrina,LS,ig,story inkl. rem.,done,2025-04-07,reminder,2025-04-10,750.0,20.0,38.0,,,,,Armbänder + Evergreen Mag
April,Zahnheld,tina_mom_91,LS,ig,story inkl. rem.,done,2025-04-08,reminder,2025-04-10,400.0,12.0,33.0,,,,,
April,IOS,transjoyboy,JT,ig,story,done,2025-04-08,nichts,,550.0,12.0,46.0,,,,,
April,Vonmählen,_nativita_,LS,ig,story inkl. rem.,done,2025-04-08,reminder,2025-04-10,1.1,30.0,37.0,,,,,
April,Vonmählen,dahoam_mit_herz,LS,ig,story inkl. rem.,done,2025-04-08,reminder,2025-04-10,460.0,15.0,31.0,,,,,
,IOS,alexperiences,JT,ig,story,done,,nichts,,300.0,8.0,38.0,,,,,
April,Vonmählen,herstoryfeed,LS,ig,story inkl. rem.,done,2025-04-09,reminder,2025-04-16,1.75,50.0,35.0,,,,,
April,305 Care,debbischneider,SB,ig,story inkl. rem.,done,2025-04-11,reminder,2025-04-18,1.1,37.0,30.0,,,,,
April,305 Care,marisa.hofmeister,SB,ig,story inkl. rem.,done,2025-04-11,reminder,2025-04-21,1.8,35.0,51.0,,,,,
April,TerraCanis,marie.znowhite,SB,ig,story inkl. rem.,done,2025-04-11,reminder,2025-04-14,150.0,5000.0,30.0,,,,,
April,IOS,2.be.good.dads,JT,ig,story inkl. rem.,done,2025-04-12,reminder,,1.35,40.0,34.0,,,,,
April,Zahnheld,fiichen,SB,ig,story inkl. rem.,done,2025-04-12,reminder,2025-04-15,900.0,19000.0,47.0,,,,,
April,TerraCanis,die.reuters,SB,ig,story inkl. rem.,done,2025-04-13,reminder,2025-04-16,700.0,25000.0,28.0,,,,,
April,IOS,jensfisch,JT,ig,story,done,2025-04-13,nichts,,200.0,7.0,29.0,,,,,
April,TerraCanis,vera_intveen,SB,ig,story inkl. rem.,done,2025-04-14,reminder,2025-04-17,1.25,27.0,46.0,,,,,
